# Region type : all 
#     Cells  : 125000
#     Volume : 1.00000000e+00
#          Time	volIntegrate(alpha.water)
        1.31818	2.52680172e-01
        1.32273	2.52861996e-01
        1.32727	2.53043819e-01
        1.33182	2.53225642e-01
        1.33636	2.53407465e-01
        1.34091	2.53589287e-01
        1.34545	2.53771110e-01
           1.35	2.53952933e-01
          1.355	2.54152933e-01
         1.3595	2.54332938e-01
          1.364	2.54512942e-01
         1.3685	2.54692946e-01
          1.373	2.54872950e-01
         1.3775	2.55052955e-01
          1.382	2.55232959e-01
         1.3865	2.55412963e-01
          1.391	2.55592967e-01
         1.3955	2.55772971e-01
            1.4	2.55952975e-01
          1.405	2.56152975e-01
           1.41	2.56352976e-01
          1.415	2.56552976e-01
           1.42	2.56752977e-01
          1.425	2.56952978e-01
        1.42917	2.57119647e-01
        1.43333	2.57286316e-01
         1.4375	2.57452985e-01
        1.44167	2.57619654e-01
        1.44583	2.57786323e-01
           1.45	2.57952992e-01
        1.45455	2.58134815e-01
        1.45909	2.58316637e-01
        1.46364	2.58498459e-01
        1.46818	2.58680282e-01
        1.47273	2.58862104e-01
        1.47727	2.59043927e-01
        1.48182	2.59225749e-01
        1.48636	2.59407572e-01
        1.49091	2.59589394e-01
        1.49545	2.59771217e-01
            1.5	2.59953039e-01
        1.50417	2.60119708e-01
        1.50833	2.60286377e-01
         1.5125	2.60453046e-01
        1.51667	2.60619715e-01
        1.52083	2.60786384e-01
          1.525	2.60953053e-01
        1.52917	2.61119722e-01
        1.53333	2.61286391e-01
         1.5375	2.61453060e-01
        1.54167	2.61619729e-01
        1.54583	2.61786397e-01
           1.55	2.61953066e-01
        1.55455	2.62134888e-01
        1.55909	2.62316710e-01
        1.56364	2.62498532e-01
        1.56818	2.62680354e-01
        1.57273	2.62862175e-01
        1.57727	2.63043997e-01
        1.58182	2.63225818e-01
        1.58636	2.63407639e-01
        1.59091	2.63589461e-01
        1.59545	2.63771282e-01
            1.6	2.63953103e-01
        1.60455	2.64134925e-01
        1.60909	2.64316746e-01
        1.61364	2.64498567e-01
        1.61818	2.64680389e-01
        1.62273	2.64862210e-01
        1.62662	2.65018056e-01
        1.63052	2.65173901e-01
        1.63442	2.65329747e-01
        1.63831	2.65485592e-01
        1.64221	2.65641437e-01
         1.6461	2.65797283e-01
           1.65	2.65953128e-01
        1.65417	2.66119797e-01
        1.65875	2.66303135e-01
        1.66333	2.66486472e-01
        1.66792	2.66669810e-01
         1.6725	2.66853148e-01
        1.67708	2.67036486e-01
        1.68167	2.67219824e-01
        1.68625	2.67403158e-01
        1.69083	2.67586492e-01
        1.69542	2.67769825e-01
            1.7	2.67953159e-01
        1.70455	2.68134978e-01
        1.70909	2.68316796e-01
        1.71364	2.68498615e-01
        1.71818	2.68680433e-01
        1.72273	2.68862252e-01
        1.72662	2.69018098e-01
        1.73052	2.69173945e-01
        1.73442	2.69329792e-01
        1.73831	2.69485638e-01
        1.74123	2.69602522e-01
        1.74416	2.69719405e-01
        1.74708	2.69836289e-01
           1.75	2.69953172e-01
        1.75313	2.70078173e-01
        1.75625	2.70203174e-01
        1.75938	2.70328174e-01
        1.76228	2.70444246e-01
        1.76518	2.70560318e-01
        1.76808	2.70676390e-01
        1.77098	2.70792462e-01
        1.77362	2.70897982e-01
        1.77626	2.71003501e-01
         1.7789	2.71109021e-01
        1.78153	2.71214541e-01
        1.78417	2.71320061e-01
        1.78681	2.71425581e-01
        1.78945	2.71531100e-01
        1.79209	2.71636620e-01
        1.79472	2.71742140e-01
        1.79736	2.71847660e-01
            1.8	2.71953180e-01
        1.80263	2.72058443e-01
        1.80512	2.72158167e-01
        1.80762	2.72257890e-01
        1.81011	2.72357613e-01
         1.8126	2.72457336e-01
         1.8151	2.72557060e-01
        1.81778	2.72664454e-01
        1.82047	2.72771849e-01
        1.82342	2.72889983e-01
        1.82637	2.73008117e-01
        1.82933	2.73126251e-01
        1.83228	2.73244386e-01
        1.83523	2.73362520e-01
        1.83819	2.73480654e-01
        1.84114	2.73598788e-01
        1.84409	2.73716923e-01
        1.84705	2.73835057e-01
           1.85	2.73953191e-01
        1.85313	2.74078192e-01
        1.85647	2.74212123e-01
         1.8601	2.74357215e-01
        1.86373	2.74502307e-01
        1.86735	2.74647399e-01
        1.87098	2.74792491e-01
        1.87461	2.74937583e-01
        1.87824	2.75082675e-01
        1.88186	2.75227767e-01
        1.88549	2.75372860e-01
        1.88912	2.75517952e-01
        1.89275	2.75663043e-01
        1.89637	2.75808135e-01
            1.9	2.75953227e-01
        1.90385	2.76107077e-01
        1.90769	2.76260926e-01
        1.91154	2.76414776e-01
        1.91538	2.76568625e-01
        1.91923	2.76722474e-01
        1.92308	2.76876324e-01
        1.92692	2.77030173e-01
        1.93077	2.77184022e-01
        1.93462	2.77337871e-01
        1.93846	2.77491720e-01
        1.94231	2.77645569e-01
        1.94615	2.77799418e-01
           1.95	2.77953267e-01
        1.95417	2.78119939e-01
        1.95875	2.78303273e-01
        1.96333	2.78486607e-01
        1.96792	2.78669941e-01
         1.9725	2.78853275e-01
        1.97708	2.79036609e-01
        1.98167	2.79219943e-01
        1.98625	2.79403277e-01
        1.99083	2.79586610e-01
        1.99542	2.79769944e-01
              2	2.79861612e-01
        2.00455	2.79861612e-01
        2.00909	2.79861612e-01
        2.01364	2.79861613e-01
        2.01818	2.79861613e-01
        2.02273	2.79861613e-01
        2.02727	2.79861613e-01
        2.03182	2.79861613e-01
        2.03545	2.79861614e-01
        2.03909	2.79861615e-01
        2.04273	2.79861616e-01
        2.04636	2.79861617e-01
           2.05	2.79861617e-01
        2.05385	2.79861619e-01
        2.05769	2.79861620e-01
        2.06192	2.79861618e-01
        2.06615	2.79861617e-01
        2.06991	2.79861618e-01
        2.07368	2.79861619e-01
        2.07744	2.79861620e-01
         2.0812	2.79861621e-01
        2.08496	2.79861622e-01
        2.08872	2.79861623e-01
        2.09248	2.79861624e-01
        2.09624	2.79861625e-01
            2.1	2.79861625e-01
        2.10417	2.79861622e-01
        2.10833	2.79861618e-01
         2.1125	2.79861613e-01
        2.11667	2.79861608e-01
        2.12083	2.79861603e-01
          2.125	2.79861598e-01
        2.12917	2.79861593e-01
        2.13333	2.79861587e-01
         2.1375	2.79861582e-01
        2.14167	2.79861576e-01
        2.14583	2.79861571e-01
           2.15	2.79861566e-01
        2.15417	2.79861562e-01
        2.15833	2.79861563e-01
         2.1625	2.79861559e-01
        2.16667	2.79861555e-01
        2.17083	2.79861550e-01
          2.175	2.79861546e-01
        2.17917	2.79861542e-01
        2.18333	2.79861538e-01
         2.1875	2.79861535e-01
        2.19167	2.79861537e-01
        2.19583	2.79861539e-01
            2.2	2.79861542e-01
        2.20455	2.79861538e-01
        2.20909	2.79861535e-01
        2.21364	2.79861531e-01
        2.21818	2.79861528e-01
        2.22273	2.79861525e-01
        2.22727	2.79861521e-01
        2.23182	2.79861518e-01
        2.23636	2.79861516e-01
        2.24091	2.79861513e-01
        2.24394	2.79861511e-01
        2.24697	2.79861510e-01
           2.25	2.79861508e-01
        2.25333	2.79861508e-01
        2.25692	2.79861508e-01
        2.26084	2.79861509e-01
         2.2644	2.79861509e-01
        2.26796	2.79861509e-01
        2.27152	2.79861508e-01
        2.27508	2.79861508e-01
        2.27864	2.79861507e-01
         2.2822	2.79861506e-01
        2.28576	2.79861505e-01
        2.28932	2.79861503e-01
        2.29288	2.79861501e-01
        2.29644	2.79861499e-01
            2.3	2.79861497e-01
        2.30357	2.79861495e-01
        2.30714	2.79861492e-01
        2.31071	2.79861489e-01
        2.31399	2.79861486e-01
        2.31726	2.79861483e-01
        2.32024	2.79861478e-01
        2.32321	2.79861473e-01
        2.32619	2.79861467e-01
        2.32917	2.79861460e-01
        2.33214	2.79861453e-01
        2.33512	2.79861446e-01
         2.3381	2.79861439e-01
        2.34107	2.79861432e-01
        2.34405	2.79861424e-01
        2.34702	2.79861417e-01
           2.35	2.79861410e-01
        2.35312	2.79861402e-01
        2.35625	2.79861394e-01
        2.35938	2.79861386e-01
         2.3625	2.79861379e-01
        2.36562	2.79861371e-01
        2.36875	2.79861364e-01
        2.37188	2.79861357e-01
          2.375	2.79861351e-01
        2.37812	2.79861344e-01
        2.38125	2.79861338e-01
        2.38438	2.79861332e-01
         2.3875	2.79861325e-01
        2.39062	2.79861319e-01
        2.39375	2.79861313e-01
        2.39688	2.79861307e-01
            2.4	2.79861301e-01
        2.40333	2.79861294e-01
        2.40692	2.79861286e-01
        2.41084	2.79861281e-01
        2.41519	2.79861274e-01
        2.41954	2.79861268e-01
        2.42389	2.79861262e-01
        2.42824	2.79861256e-01
         2.4326	2.79861249e-01
        2.43695	2.79861243e-01
         2.4413	2.79861237e-01
        2.44565	2.79861231e-01
           2.45	2.79861226e-01
        2.45417	2.79861220e-01
        2.45833	2.79861215e-01
         2.4625	2.79861210e-01
        2.46625	2.79861202e-01
           2.47	2.79861193e-01
        2.47333	2.79861188e-01
         2.4763	2.79861184e-01
        2.47926	2.79861179e-01
        2.48185	2.79861176e-01
        2.48444	2.79861173e-01
        2.48704	2.79861170e-01
         2.4892	2.79861167e-01
        2.49136	2.79861165e-01
        2.49352	2.79861163e-01
        2.49568	2.79861160e-01
        2.49784	2.79861158e-01
            2.5	2.79861156e-01
        2.50217	2.79861154e-01
        2.50435	2.79861152e-01
        2.50652	2.79861150e-01
         2.5087	2.79861148e-01
        2.51087	2.79861146e-01
        2.51317	2.79861144e-01
        2.51547	2.79861142e-01
        2.51777	2.79861140e-01
        2.52025	2.79861138e-01
        2.52273	2.79861136e-01
        2.52521	2.79861134e-01
        2.52769	2.79861132e-01
        2.53017	2.79861129e-01
        2.53265	2.79861127e-01
        2.53513	2.79861125e-01
        2.53761	2.79861123e-01
        2.54008	2.79861121e-01
        2.54256	2.79861119e-01
        2.54504	2.79861117e-01
        2.54752	2.79861115e-01
           2.55	2.79861113e-01
        2.55278	2.79861111e-01
        2.55573	2.79861108e-01
        2.55889	2.79861104e-01
        2.56205	2.79861100e-01
        2.56522	2.79861096e-01
        2.56838	2.79861093e-01
        2.57154	2.79861089e-01
         2.5747	2.79861086e-01
        2.57786	2.79861082e-01
        2.58103	2.79861079e-01
        2.58419	2.79861076e-01
        2.58735	2.79861073e-01
        2.59051	2.79861070e-01
        2.59368	2.79861067e-01
        2.59684	2.79861065e-01
            2.6	2.79861063e-01
        2.60333	2.79861060e-01
        2.60692	2.79861057e-01
        2.61051	2.79861053e-01
         2.6141	2.79861050e-01
        2.61809	2.79861045e-01
        2.62208	2.79861040e-01
        2.62607	2.79861035e-01
        2.63006	2.79861030e-01
        2.63405	2.79861025e-01
        2.63803	2.79861020e-01
        2.64202	2.79861016e-01
        2.64601	2.79861011e-01
           2.65	2.79861007e-01
        2.65385	2.79861004e-01
        2.65769	2.79861000e-01
        2.66154	2.79860997e-01
        2.66538	2.79860994e-01
        2.66923	2.79860991e-01
        2.67308	2.79860988e-01
        2.67692	2.79860985e-01
        2.68077	2.79860982e-01
        2.68462	2.79860979e-01
        2.68846	2.79860976e-01
        2.69231	2.79860974e-01
        2.69615	2.79860971e-01
            2.7	2.79860968e-01
        2.70417	2.79860965e-01
        2.70875	2.79860960e-01
        2.71333	2.79860955e-01
        2.71792	2.79860950e-01
         2.7225	2.79860946e-01
        2.72708	2.79860941e-01
        2.73167	2.79860936e-01
        2.73625	2.79860932e-01
        2.74083	2.79860927e-01
        2.74542	2.79860923e-01
           2.75	2.79860918e-01
          2.755	2.79860912e-01
           2.76	2.79860906e-01
          2.765	2.79860900e-01
           2.77	2.79860894e-01
          2.775	2.79860889e-01
           2.78	2.79860883e-01
          2.785	2.79860877e-01
           2.79	2.79860871e-01
          2.795	2.79860864e-01
            2.8	2.79860856e-01
          2.805	2.79860846e-01
           2.81	2.79860835e-01
          2.815	2.79860823e-01
           2.82	2.79860809e-01
          2.825	2.79860793e-01
           2.83	2.79860777e-01
          2.835	2.79860759e-01
           2.84	2.79860742e-01
          2.845	2.79860724e-01
           2.85	2.79860708e-01
        2.85556	2.79860688e-01
        2.86111	2.79860670e-01
        2.86667	2.79860653e-01
        2.87143	2.79860641e-01
        2.87619	2.79860629e-01
        2.88095	2.79860618e-01
        2.88571	2.79860607e-01
        2.89048	2.79860596e-01
        2.89524	2.79860584e-01
            2.9	2.79860571e-01
          2.905	2.79860558e-01
           2.91	2.79860543e-01
          2.915	2.79860528e-01
           2.92	2.79860512e-01
          2.925	2.79860495e-01
           2.93	2.79860478e-01
          2.935	2.79860460e-01
           2.94	2.79860443e-01
          2.945	2.79860425e-01
           2.95	2.79860406e-01
        2.95556	2.79860385e-01
        2.96111	2.79860364e-01
        2.96667	2.79860343e-01
        2.97222	2.79860321e-01
        2.97778	2.79860301e-01
        2.98333	2.79860282e-01
        2.98889	2.79860263e-01
        2.99444	2.79860245e-01
              3	2.79860226e-01
