# Residuals  
# Time       	Ux           	Uy           	p            
271          	2.181940e-09	5.014980e-09	5.214950e-07
272          	2.127040e-09	4.872170e-09	5.216400e-07
273          	2.073750e-09	4.733350e-09	5.217860e-07
274          	2.021940e-09	4.598420e-09	5.219290e-07
275          	1.971780e-09	4.467320e-09	5.220700e-07
276          	1.923160e-09	4.340110e-09	5.222080e-07
277          	1.876260e-09	4.216580e-09	5.223430e-07
278          	1.831390e-09	4.096520e-09	5.224760e-07
279          	1.788260e-09	3.979850e-09	5.226060e-07
280          	1.746220e-09	3.866510e-09	5.227340e-07
281          	1.705240e-09	3.756530e-09	5.228590e-07
282          	1.665320e-09	3.649630e-09	5.229820e-07
283          	1.626420e-09	3.545740e-09	5.231020e-07
284          	1.588500e-09	3.444930e-09	5.232200e-07
285          	1.551530e-09	3.346980e-09	5.233360e-07
286          	1.515500e-09	3.251810e-09	5.234490e-07
287          	1.480370e-09	3.159360e-09	5.235600e-07
288          	1.446150e-09	3.069520e-09	5.236690e-07
289          	1.412840e-09	2.982330e-09	5.237750e-07
290          	1.380380e-09	2.897670e-09	5.238800e-07
291          	1.348790e-09	2.815380e-09	5.239840e-07
292          	1.318040e-09	2.735470e-09	5.240860e-07
293          	1.288150e-09	2.657830e-09	5.241860e-07
294          	1.259080e-09	2.582380e-09	5.242830e-07
295          	1.230860e-09	2.509050e-09	5.243790e-07
296          	1.203480e-09	2.437850e-09	5.244730e-07
297          	1.176980e-09	2.368740e-09	5.245640e-07
298          	1.151350e-09	2.301650e-09	5.246540e-07
299          	1.126740e-09	2.236500e-09	5.247420e-07
300          	1.103250e-09	2.173180e-09	5.248290e-07
301          	1.080330e-09	2.111650e-09	5.249160e-07
302          	1.057970e-09	2.051850e-09	5.250020e-07
303          	1.036160e-09	1.993750e-09	5.250850e-07
304          	1.014880e-09	1.937290e-09	5.251690e-07
305          	9.941300e-10	1.882420e-09	5.252520e-07
306          	9.738910e-10	1.829100e-09	5.253320e-07
307          	9.541960e-10	1.777290e-09	5.254110e-07
308          	9.350110e-10	1.727030e-09	5.254880e-07
309          	9.163040e-10	1.678300e-09	5.255630e-07
310          	8.981440e-10	1.630970e-09	5.256370e-07
311          	8.804720e-10	1.584980e-09	5.257090e-07
312          	8.633170e-10	1.540280e-09	5.257820e-07
313          	8.467110e-10	1.496840e-09	5.258540e-07
314          	8.306400e-10	1.454620e-09	5.259240e-07
315          	8.151780e-10	1.413600e-09	5.259930e-07
316          	8.003510e-10	1.373750e-09	5.260600e-07
317          	7.858980e-10	1.335050e-09	5.261260e-07
318          	7.717770e-10	1.297450e-09	5.261900e-07
319          	7.580250e-10	1.260920e-09	5.262530e-07
320          	7.445860e-10	1.225430e-09	5.263150e-07
321          	7.315110e-10	1.191010e-09	5.263750e-07
322          	7.187840e-10	1.157590e-09	5.264340e-07
323          	7.063520e-10	1.125130e-09	5.264920e-07
324          	6.943300e-10	1.093580e-09	5.265480e-07
325          	6.826330e-10	1.062960e-09	5.266040e-07
326          	6.712900e-10	1.033230e-09	5.266580e-07
327          	6.603600e-10	1.004330e-09	5.267100e-07
328          	6.498540e-10	9.762560e-10	5.267620e-07
329          	6.396010e-10	9.489720e-10	5.268120e-07
330          	6.295870e-10	9.225130e-10	5.268620e-07
331          	6.197980e-10	8.968070e-10	5.269100e-07
332          	6.102690e-10	8.718270e-10	5.269570e-07
333          	6.009620e-10	8.475530e-10	5.270040e-07
334          	5.919250e-10	8.239650e-10	5.270490e-07
335          	5.831270e-10	8.010450e-10	5.270930e-07
336          	5.746350e-10	7.787740e-10	5.271360e-07
337          	5.664120e-10	7.571380e-10	5.271780e-07
338          	5.583690e-10	7.361680e-10	5.272190e-07
339          	5.504800e-10	7.158480e-10	5.272600e-07
340          	5.427720e-10	6.961170e-10	5.272990e-07
341          	5.352450e-10	6.769440e-10	5.273380e-07
