# Field minima and maxima
# Time         	field          	min            	location(min)  	processor      	max            	location(max)  	processor      
0.0405321      	alpha.water    	-7.53182260e-12	(0.00000000e+00 4.70000000e-01 6.90000000e-01)	0	1.00000132e+00	(1.00000000e-02 5.10000000e-01 6.10000000e-01)	0
0.045266       	p              	-6.52707670e+01	(0.00000000e+00 5.10000000e-01 6.10000000e-01)	0	1.96019294e+03	(1.00000000e-02 0.00000000e+00 6.50000000e-01)	0
0.045266       	p_rgh          	-2.10233427e+00	(3.00000000e-02 4.90000000e-01 4.90000000e-01)	0	6.85705966e+03	(0.00000000e+00 6.90000000e-01 5.30000000e-01)	3
0.045266       	U              	(-2.32775795e-01 -1.29478090e+00 -5.54407914e-01)	(3.00000000e-02 7.10000000e-01 7.10000000e-01)	3	(3.05811455e-01 4.14102978e-01 3.18440995e-01)	(1.10000000e-01 6.90000000e-01 6.90000000e-01)	3
0.045266       	alpha.water    	-6.38619194e-10	(0.00000000e+00 4.70000000e-01 6.90000000e-01)	0	1.00000125e+00	(1.00000000e-02 5.10000000e-01 5.90000000e-01)	0
0.05           	p              	-6.92297940e+01	(0.00000000e+00 5.10000000e-01 6.10000000e-01)	0	1.96020437e+03	(1.00000000e-02 0.00000000e+00 6.30000000e-01)	0
0.05           	p_rgh          	-2.25367973e+00	(5.00000000e-02 7.10000000e-01 6.10000000e-01)	3	6.85717378e+03	(0.00000000e+00 6.90000000e-01 5.30000000e-01)	3
0.05           	U              	(-2.63874643e-01 -1.50452607e-01 -4.16684735e-01)	(7.00000000e-02 4.90000000e-01 4.70000000e-01)	0	(5.60109424e-01 2.68774874e-01 1.77968469e-01)	(1.30000000e-01 6.50000000e-01 6.50000000e-01)	3
0.05           	alpha.water    	-1.62614758e-09	(0.00000000e+00 4.70000000e-01 5.10000000e-01)	0	1.00000091e+00	(1.00000000e-02 5.10000000e-01 5.90000000e-01)	0
0.0555556      	p              	-7.31189319e+01	(0.00000000e+00 5.10000000e-01 6.10000000e-01)	0	1.96023991e+03	(1.00000000e-02 0.00000000e+00 6.50000000e-01)	0
0.0555556      	p_rgh          	-2.34755679e+00	(3.00000000e-02 4.70000000e-01 6.10000000e-01)	0	6.85720363e+03	(0.00000000e+00 6.90000000e-01 5.30000000e-01)	3
0.0555556      	U              	(-1.30789353e-01 -1.45033934e-01 -4.86920359e-01)	(9.00000000e-02 4.90000000e-01 4.70000000e-01)	0	(6.10433519e-01 2.55345798e-01 1.74052127e-01)	(1.30000000e-01 6.50000000e-01 6.50000000e-01)	3
0.0555556      	alpha.water    	-1.73907187e-10	(0.00000000e+00 4.70000000e-01 6.90000000e-01)	0	1.00000088e+00	(1.00000000e-02 5.30000000e-01 5.90000000e-01)	0
0.0619048      	p              	-7.49521170e+01	(1.00000000e-02 5.10000000e-01 6.10000000e-01)	0	1.96024341e+03	(1.00000000e-02 0.00000000e+00 6.30000000e-01)	0
0.0619048      	p_rgh          	-2.61582791e+00	(0.00000000e+00 4.70000000e-01 6.70000000e-01)	0	6.85765029e+03	(0.00000000e+00 6.90000000e-01 5.30000000e-01)	3
0.0619048      	U              	(-2.54501242e-01 -1.50610706e+00 -5.57206737e-01)	(3.00000000e-02 7.10000000e-01 7.10000000e-01)	3	(5.42080716e-01 2.39603283e-01 1.79831775e-01)	(1.50000000e-01 6.30000000e-01 6.50000000e-01)	3
0.0619048      	alpha.water    	-4.00609646e-10	(0.00000000e+00 6.90000000e-01 7.30000000e-01)	3	1.00000123e+00	(1.00000000e-02 5.10000000e-01 5.90000000e-01)	0
0.068254       	p              	-7.33301926e+01	(0.00000000e+00 5.10000000e-01 6.10000000e-01)	0	1.96023091e+03	(1.00000000e-02 0.00000000e+00 6.30000000e-01)	0
0.068254       	p_rgh          	-2.46885512e+00	(0.00000000e+00 4.70000000e-01 6.70000000e-01)	0	6.85801115e+03	(0.00000000e+00 6.90000000e-01 5.30000000e-01)	3
0.068254       	U              	(-2.55679509e-01 -1.48778835e+00 -5.47970479e-01)	(3.00000000e-02 7.10000000e-01 7.10000000e-01)	3	(1.40723387e-01 1.66210481e-01 2.29471775e-01)	(3.00000000e-02 4.70000000e-01 4.90000000e-01)	0
0.068254       	alpha.water    	-2.57495138e-09	(0.00000000e+00 6.90000000e-01 7.70000000e-01)	3	1.00000134e+00	(3.00000000e-02 5.30000000e-01 6.10000000e-01)	0
0.0746032      	p              	-7.12948919e+01	(1.00000000e-02 5.10000000e-01 5.90000000e-01)	0	1.96024490e+03	(1.00000000e-02 0.00000000e+00 6.50000000e-01)	0
0.0746032      	p_rgh          	-2.08363443e+00	(0.00000000e+00 4.70000000e-01 6.70000000e-01)	0	6.85820400e+03	(0.00000000e+00 6.90000000e-01 5.30000000e-01)	3
0.0746032      	U              	(-3.87904745e-01 -1.04155551e+00 -4.74792756e-01)	(5.00000000e-02 7.10000000e-01 7.10000000e-01)	3	(7.52957538e-02 6.16101758e-01 2.95343233e-01)	(1.00000000e-02 4.70000000e-01 5.30000000e-01)	0
0.0746032      	alpha.water    	-1.43463213e-10	(0.00000000e+00 6.90000000e-01 7.30000000e-01)	3	1.00000215e+00	(1.00000000e-02 5.10000000e-01 6.10000000e-01)	0
0.0809524      	p              	-7.08662791e+01	(1.00000000e-02 5.10000000e-01 5.90000000e-01)	0	1.96023766e+03	(1.00000000e-02 0.00000000e+00 6.30000000e-01)	0
